"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"scav-2",78.4026592145794,-0.966244304176326,0.242647875579771,9.70739550880286e-05,0.00322600752591434
"ugt-16",215.537555825589,1.91232400020468,0.170808567429674,1.0010858568946e-22,6.43984230513769e-20
"ZK512.7",34.6989884157162,0.862757488756473,0.374133031654135,0.0018822802162986,0.0450846160318755
"ZK632.4",341.495161562306,-0.85686099634527,0.150860055777435,7.36873549228581e-06,0.000316013484969171
"ZK662.2",8.95422342447323,-3.21111808732632,1.11388362760915,6.0889522689712e-05,0.00213373946048073
"puf-12",532.94224438183,0.657240396525227,0.120496898082698,0.000334967549777338,0.00995616420229276
"ZK1025.3",57.2215274693326,-5.63797114863624,0.635613092439652,8.68080459827963e-18,2.05735068979227e-15
"dcaf-1",247.087051144911,0.642689533251215,0.133904723173404,0.00108537766356112,0.0276909666799757
"gad-3",76.3030282802036,-0.770900167349099,0.235859667156562,0.00143106877937768,0.035310151855001
"B0416.7",78.1289528585429,1.97992984437414,0.255017900503569,8.24119428276328e-13,1.01671500973378e-10
"rml-4",63.2930584984895,-2.26990916971606,0.272819608764447,3.02582737103233e-14,5.04640764879948e-12
"ivd-1",475.177184825471,0.706673338556983,0.114258576670781,3.494536258206e-05,0.00130588354943582
"C02E7.6",15.9198792188194,-6.78159053693753,1.18719365689112,3.78127213857373e-09,2.76862901463374e-07
"cyp-35A2",139.628505412125,0.777615294119483,0.181927535908419,0.000334759697290584,0.00995616420229276
"mthf-1",439.336962852952,-0.63553005289398,0.129520609236144,0.00106931729878328,0.0274366712046787
"srlf-1",513.416755020758,-0.621336448133509,0.135130167294546,0.00197099915255104,0.0468359323690625
"sams-3",104.164034123556,-0.742956039413589,0.19909525433889,0.0010824059618607,0.0276909666799757
"C06G1.1",13.5691955974404,-1.75559924127247,0.788138894954104,0.000216467256106275,0.00663096635541875
"mlt-10",33.8924063763566,-5.1295527480219,0.685934506503923,4.27427521555474e-13,5.74539143153523e-11
"cyp-33A1",86.9335923455754,2.58237484184275,0.237309193294776,2.18377891129532e-22,1.15688899265445e-19
"C12D5.9",16.4079881325796,-1.34361231366292,0.651331181926677,0.000464118100190576,0.0133969474689626
"rml-3",14.4875851746847,-4.15396703299733,0.813046900787194,3.90531207907696e-07,1.92192571498181e-05
"C15F1.2",29.382003480695,-4.46489491729435,0.599942240222119,1.13740593463247e-12,1.36579704630668e-10
