"","Aux_rep1_RNA","Aux_rep2_RNA","Aux_rep3_RNA","noAux_rep1_RNA","noAux_rep2_RNA","noAux_rep3_RNA"
"C05G5.3",0.941881310541076,0.896315097900887,1.60993132708797,1.03923170134582,5.57685502927214,0
"sucl-1",90.4206058119433,60.9494266572603,92.571051307558,98.7270116278526,83.6528254390821,91.2166353564741
"cdc-48.1",178.957449002804,249.175597216447,251.954252689267,188.100937943593,218.426821979825,227.380598279907
"C06A1.2",15.0701009686572,11.6520962727115,12.0744849531597,10.3923170134582,12.0831858967563,11.8978220030184
"rpb-6",40.5008963532663,68.1199474404674,43.4681458313751,37.4123412484494,44.6148402341771,46.2693077895159
"C06A12.3",4.70940655270538,0.896315097900887,0,1.03923170134582,0,1.3219802225576
"cyp-35C1",4.70940655270538,7.1705207832071,11.2695192896158,2.07846340269163,3.71790335284809,2.64396044511519
"stdh-1",15.0701009686572,7.1705207832071,16.9042789344236,9.35308531211235,13.9421375731803,9.25386155790317
"C06B3.6",33.9077271794787,17.0299868601169,24.1489699063195,47.8046582619076,28.8137509845727,38.3374264541703
"C06B8.7",10.3606944159518,27.7857680349275,18.5142102615116,21.8238657282622,18.5895167642405,9.25386155790317
"swt-3",14.1282196581161,5.37789058740532,6.43972530835186,15.5884755201873,17.6600409260284,10.5758417804608
"atp-5",123.386451680881,128.173058999827,113.500158559702,149.649364993798,144.998230761076,137.48594314599
"C06H2.2",3.7675252421643,7.1705207832071,6.43972530835186,5.19615850672908,14.8716134113924,6.60990111278798
"jmjd-5",13.1863383475751,9.85946607690976,8.85462229898381,8.31385361076654,2.78842751463607,1.3219802225576
"folt-1",3.7675252421643,0.896315097900887,4.8297939812639,2.07846340269163,6.50633086748416,2.64396044511519
"glb-3",0,1.79263019580177,1.60993132708797,0,1.85895167642405,0
"lmtr-3",6.59316917378753,3.58526039160355,2.41489699063195,2.07846340269163,3.71790335284809,2.64396044511519
"C06H5.6",21.6632701424447,29.5783982307293,27.3688325604954,13.5100121174956,31.6021784992088,23.7956440060367
"dcar-1",11.3025757264929,9.85946607690976,6.43972530835186,19.7454023255705,12.0831858967563,18.5077231158063
"tiar-3",1.88376262108215,6.27420568530621,9.6595879625278,1.03923170134582,0.929475838212023,5.28792089023038
"C07A4.2",0,4.48157548950443,0.804965663543983,6.2353902080749,0.929475838212023,1.3219802225576
"bud-31",4.70940655270538,6.27420568530621,6.43972530835186,5.19615850672908,9.29475838212023,5.28792089023038
"ugt-60",6.59316917378753,3.58526039160355,5.63475964480788,12.4707804161498,7.43580670569618,3.96594066767279
"set-3",6.59316917378753,2.68894529370266,5.63475964480788,1.03923170134582,2.78842751463607,0
"best-5",2.82564393162323,0.896315097900887,0.804965663543983,0,0.929475838212023,1.3219802225576
"C07A9.9",2.82564393162323,2.68894529370266,7.24469097189585,2.07846340269163,3.71790335284809,3.96594066767279
"C07B5.4",6.59316917378753,6.27420568530621,6.43972530835186,7.27462190942072,13.0126617349683,10.5758417804608
"stip-1",11.3025757264929,18.8226170559186,18.5142102615116,17.6669389228789,7.43580670569618,19.8297033383639
"pro-2",113.025757264929,85.1499343005843,103.840570597174,65.4715971847865,56.6980261309334,58.1671297925342
"C07E3.3",6.59316917378753,3.58526039160355,8.04965663543983,3.11769510403745,5.57685502927214,11.8978220030184
"ceh-58",2.82564393162323,0,0.804965663543983,3.11769510403745,2.78842751463607,1.3219802225576
